1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,label
338,284,284,242,296,226,257.0,438.0,392.0,296.0,357.0,419.0,469.0,223.0,315.0,346.0,299.5,318.5,318.5,254.25,256.3333333333333,208.0,276.8,295.9230769230769,0.0,0.0,0.0,C
319,226,292,307,396,346,246.0,269.0,188.0,215.0,238.0,407.0,373.0,492.0,384.0,453.0,296.0,303.0,326.0,271.125,239.66666666666666,205.5,276.4,296.14102564102564,0.0,0.0,0.0,C
226,19,107,215,338,438,407.0,326.0,323.0,342.0,303.0,403.0,461.0,434.0,469.0,396.0,423.0,376.0,365.0,288.0,223.0,203.0,276.0,296.35897435897436,0.0,0.0,0.0,C
223,265,376,307,373,319,423.0,407.0,423.0,384.0,376.0,323.0,446.0,384.0,369.0,403.0,415.0,438.0,338.0,315.0,223.0,230.0,274.25,296.5769230769231,0.0,0.0,0.0,C
323,238,219,196,246,219,165.0,173.0,384.0,292.0,246.0,242.0,323.0,388.0,388.0,415.0,361.0,353.0,311.0,342.0,223.0,257.0,272.5,296.79487179487177,0.0,0.0,0.0,C
319,261,234,188,142,207,273.0,373.0,284.0,338.0,334.0,307.0,319.0,303.0,311.0,296.0,257.0,242.0,273.0,313.0,223.0,284.0,270.75,297.0128205128205,0.0,0.0,0.0,C
346,326,261,184,223,226,226.0,288.0,261.0,415.0,384.0,411.0,426.0,326.0,261.0,296.0,253.0,242.0,296.0,284.0,223.0,311.0,269.0,297.2307692307692,0.0,0.0,0.0,C
246,319,261,288,296,207,242.0,288.0,276.0,407.0,334.0,257.0,276.0,253.0,238.0,323.0,319.0,288.0,338.0,353.0,334.0,306.0,269.7692307692308,297.44871794871796,0.0,0.0,0.0,C
346,246,265,184,365,419,376.0,407.0,365.0,357.0,407.0,288.0,423.0,365.0,365.0,361.0,365.0,265.0,339.3333333333333,334.0,326.3333333333333,301.0,270.53846153846155,297.6666666666667,0.0,0.0,0.0,C
269,311,176,238,365,361,315.0,323.0,346.0,269.0,284.0,261.0,257.0,323.0,311.0,361.0,273.0,284.0,340.6666666666667,315.0,318.6666666666667,296.0,271.3076923076923,297.88461538461536,0.0,0.0,0.0,C
296,169,246,207,315,276,223.0,238.0,426.0,292.0,396.0,323.0,396.0,223.0,319.0,265.0,288.0,303.0,342.0,296.0,311.0,291.0,272.0769230769231,298.1025641025641,0.0,0.0,0.0,C
303,388,296,284,211,219,153.0,284.0,376.0,376.0,376.0,307.0,357.0,184.0,307.0,288.0,284.0,319.0,329.0,293.3333333333333,303.3333333333333,286.0,272.84615384615387,298.3205128205128,0.0,0.0,0.0,C
96,111,253,234,334,292,346.0,273.0,303.0,411.0,323.0,292.0,257.0,253.0,284.0,328.5,280.0,338.0,316.0,290.6666666666667,295.6666666666667,281.0,273.61538461538464,298.53846153846155,0.0,0.0,0.0,C
353,284,265,246,157,261,257.0,257.0,173.0,207.0,269.0,334.0,357.0,365.0,311.0,369.0,276.0,357.0,303.0,288.0,288.0,276.0,274.38461538461536,298.7564102564103,0.0,0.0,0.0,C
384,215,219,238,165,265,465.0,415.0,334.0,311.0,434.0,361.0,361.0,361.0,369.0,246.0,276.0,284.0,319.0,289.3333333333333,256.0,281.0,275.15384615384613,298.97435897435895,0.0,0.0,0.0,C
253,246,253,388,488,438,315.0,142.0,322.5,351.5,415.0,378.5,347.5,378.5,361.0,307.5,272.5,295.5,297.5,290.6666666666667,224.0,286.0,275.9230769230769,299.1923076923077,0.0,0.0,0.0,C
242,319,376,411,384,438,303.0,338.0,311.0,392.0,396.0,396.0,334.0,396.0,353.0,369.0,269.0,307.0,276.0,292.0,192.0,291.0,276.6923076923077,299.4102564102564,0.0,0.0,0.0,C
234,223,238,246,326,292,338.0,326.0,346.0,292.0,392.0,469.0,476.0,334.0,453.0,426.0,338.0,438.0,357.0,365.0,207.0,296.0,277.46153846153845,299.62820512820514,0.0,0.0,0.0,C
365,303,253,215,223,211,119.0,219.0,419.0,411.0,311.0,365.0,269.0,292.0,296.0,226.0,324.0,365.0,340.8,339.6,216.2,295.5740740740741,278.2307692307692,299.84615384615387,0.0,0.0,0.0,C
334,376,276,419,265,257,138.0,173.0,223.0,238.0,146.0,403.0,311.0,219.0,257.0,266.5,310.0,292.0,324.6,314.2,225.4,295.14814814814815,279.0,300.06410256410254,0.0,0.0,0.0,C
357,265,226,207,296,153,211.0,207.0,353.0,376.0,392.0,357.0,311.0,319.0,334.0,307.0,296.0,219.0,308.4,288.8,234.6,294.72222222222223,279.7692307692308,300.28205128205127,0.0,0.0,0.0,C
473,361,465,411,361,296,253.0,257.0,142.0,103.0,169.0,196.0,146.0,126.0,368.5,376.5,309.5,257.5,292.2,263.4,243.8,294.2962962962963,280.53846153846155,300.5,0.0,0.0,0.0,C
303,169,192,173,215,169,188.0,161.0,176.0,176.0,261.0,284.0,376.0,334.0,403.0,446.0,323.0,296.0,276.0,238.0,253.0,293.8703703703704,281.3076923076923,300.71794871794873,0.0,0.0,0.0,C
296,315,346,446,403,407,442.0,438.0,469.0,496.0,473.0,359.0,347.5,313.0,432.6666666666667,451.0,351.0,299.6666666666667,269.6666666666667,255.25,261.2857142857143,293.44444444444446,282.0769230769231,300.93589743589746,0.0,0.0,0.0,C
276,134,73,238,338,273,303.0,315.0,296.0,426.0,369.0,434.0,319.0,292.0,462.3333333333333,456.0,379.0,303.3333333333333,263.3333333333333,272.5,269.57142857142856,293.01851851851853,282.84615384615387,301.15384615384613,0.0,0.0,0.0,C
219,238,284,292,207,242,257.0,215.0,257.0,161.0,257.0,292.0,334.0,369.0,492.0,461.0,407.0,307.0,257.0,289.75,277.8571428571429,292.5925925925926,283.61538461538464,301.37179487179486,0.0,0.0,0.0,C
192,284,234,211,192,219,192.0,211.0,207.0,311.0,342.0,411.0,365.0,373.0,419.0,415.0,288.0,338.0,353.0,307.0,286.14285714285717,292.1666666666667,284.38461538461536,301.5897435897436,0.0,0.0,0.0,C
292,307,253,292,265,246,215.0,388.0,496.0,411.0,384.0,353.0,307.0,303.0,257.0,361.0,270.5,356.0,371.0,326.3333333333333,294.42857142857144,291.74074074074076,285.15384615384613,301.8076923076923,0.0,0.0,0.0,C
284,242,257,115,142,169,169.0,142.0,342.0,411.0,357.0,303.0,361.0,373.0,319.0,307.0,253.0,374.0,389.0,345.6666666666667,302.7142857142857,291.31481481481484,285.9230769230769,302.02564102564105,0.0,0.0,0.0,C
215,215,226,269,223,334,242.0,276.0,284.0,373.0,361.0,273.0,288.0,423.0,473.0,396.0,476.0,392.0,407.0,365.0,311.0,290.8888888888889,286.6923076923077,302.2435897435897,0.0,0.0,0.0,C
276,265,246,215,338,353,261.0,388.0,407.0,476.0,434.0,423.0,292.0,323.0,246.0,253.0,311.0,332.5,364.75,349.5,307.3333333333333,290.462962962963,287.46153846153845,302.46153846153845,0.0,0.0,0.0,C
203,361,376,196,234,123,242.0,123.0,246.0,388.0,426.0,461.0,488.0,484.0,411.0,465.0,338.0,273.0,322.5,334.0,303.6666666666667,290.037037037037,288.2307692307692,302.6794871794872,0.0,0.0,0.0,C
303,303,307,173,265,303,376.0,423.0,407.0,303.0,211.0,226.0,257.0,388.0,323.0,269.0,176.0,246.0,280.25,318.5,300.0,289.6111111111111,289.0,302.8974358974359,0.0,0.0,0.0,C
326,269,376,276,134,219,303.0,169.0,361.0,361.0,415.0,288.0,369.0,238.0,319.0,265.0,353.0,234.0,238.0,303.0,296.3333333333333,289.18518518518516,289.7692307692308,303.11538461538464,0.0,0.0,0.0,C
169,184,265,273,353,442,384.0,261.0,415.0,346.0,319.0,334.0,323.0,438.0,292.0,353.0,273.0,365.0,346.0,302.6111111111111,292.6666666666667,288.75925925925924,290.53846153846155,303.3333333333333,0.0,0.0,0.0,C
269,292,311,346,253,334,296.0,384.0,242.0,323.0,307.0,442.0,296.0,419.0,465.0,411.0,446.0,363.0,360.25,302.22222222222223,289.0,288.3333333333333,291.3076923076923,303.55128205128204,0.0,0.0,0.0,C
